"","X","Zip.Code","Population","Cases","Deaths","Cases.Per.10000.Residents","totalanimalunits","deathsovercases","MortalityRate"
"615",640,27928,1771,30,0,159,960,0,0
"616",641,28615,1767,3,0,16,0,0,0
"617",642,27980,1758,16,0,77,1264,0,0
"618",643,27562,1752,20,0,72,0,0,0
"619",644,27849,1742,9,0,61,0,0,0
"620",645,28679,1740,4,0,19,0,0,0
"621",646,27291,1735,1,0,7,0,0,0
"622",647,28637,1734,17,0,107,0,0,0
"623",648,27929,1711,2,0,10,0,0,0
"624",649,28529,1706,17,0,67,0,0,0
"625",650,27897,1690,38,1,154,4103.36,0.0263157894736842,0.0591715976331361
"626",651,28606,1689,17,0,72,0,0,0
"627",652,27315,1659,6,0,28,0,0,0
"628",653,28447,1643,70,0,525,6563.56,0,0
"629",654,28717,1640,45,0,306,0,0,0
"630",655,28392,1628,36,1,232,789.69,0.0277777777777778,0.0614250614250614
"631",656,27551,1627,13,1,59,240,0.0769230769230769,0.0614628149969269
"632",657,28438,1619,18,0,107,7839.68,0,0
"633",658,28421,1585,15,0,74,4460,0,0
"634",659,28442,1584,30,1,173,0,0.0333333333333333,0.0631313131313131
"635",660,27343,1579,4,0,22,0,0,0
"636",661,27926,1557,4,0,20,0,0,0
"637",662,27979,1547,2,0,11,0,0,0
"638",664,28510,1503,4,0,26,0,0,0
"639",665,27829,1480,8,1,43,964.07,0.125,0.0675675675675676
"640",666,28623,1464,21,0,122,560,0,0
"641",667,27842,1456,10,0,70,0,0,0
"642",669,27947,1431,3,0,36,0,0,0
"643",670,28363,1426,9,0,83,4301.45,0,0
"644",671,28343,1404,8,0,51,1898,0,0
"645",672,27016,1395,11,0,65,24,0,0
"646",673,28902,1377,11,0,70,0,0,0
"647",674,28531,1361,1,0,7,0,0,0
"648",676,27876,1346,10,1,78,338.16,0.1,0.0742942050520059
"649",677,27314,1339,5,0,44,0,0,0
"650",678,28624,1339,28,1,148,0,0.0357142857142857,0.0746825989544436
"651",679,27047,1335,7,0,55,3060,0,0
"652",680,27818,1335,16,0,126,0,0,0
"653",682,27920,1327,27,0,191,0,0,0
"654",683,27508,1326,17,0,73,0,0,0
"655",684,28682,1301,5,0,45,0,0,0
"656",685,27884,1301,5,0,32,72,0,0
